
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
GHO2220 | AGUARDANDO | NF:  | Job: FILA
DVG0A69 | AGUARDANDO | NF:  | Job: FILA
FQZ6720 | AGUARDANDO | NF:  | Job: FILA
QXQ7D74 | AGUARDANDO | NF:  | Job: FILA
SBZ5J45 | AGUARDANDO | NF:  | Job: FILA
FQN7468 | AGUARDANDO | NF:  | Job: FILA
FPR3D60 | AGUARDANDO | NF:  | Job: FILA
ETB3H47 | AGUARDANDO | NF:  | Job: FILA
QQA0H72 | AGUARDANDO | NF:  | Job: FILA
CEC1I16 | AGUARDANDO | NF:  | Job: FILA
DGK5G85 | AGUARDANDO | NF:  | Job: FILA
GIN6H60 | AGUARDANDO | NF:  | Job: FILA
BHK2335 | AGUARDANDO | NF:  | Job: FILA
BPZ9B86 | AGUARDANDO | NF:  | Job: FILA
FOH3F63 | AGUARDANDO | NF:  | Job: FILA
HHW4A36 | AGUARDANDO | NF:  | Job: FILA
EDA4180 | AGUARDANDO | NF:  | Job: FILA
RVR0D17 | AGUARDANDO | NF:  | Job: FILA
DBU4G00 | AGUARDANDO | NF:  | Job: FILA
BYV3E71 | AGUARDANDO | NF:  | Job: FILA
ERM0H53 | AGUARDANDO | NF:  | Job: FILA
FPM0G20 | AGUARDANDO | NF:  | Job: FILA
TCW6C21 | AGUARDANDO | NF:  | Job: FILA
DQM5A49 | AGUARDANDO | NF:  | Job: FILA
BSH9265 | AGUARDANDO | NF:  | Job: FILA
SWG8F75 | AGUARDANDO | NF:  | Job: FILA
